id,category,store,2023-07-30,2023-08-15,2023-08-28,2023-09-09,2023-09-24
71194,PHONE,Anhoch,7480.0,7480.0,7480.0,6980.0,6980.0
71195,PHONE,Anhoch,7480.0,7480.0,7480.0,6980.0,6980.0
71196,PHONE,Anhoch,7480.0,7480.0,7280.0,7280.0,6980.0
71197,PHONE,Anhoch,7480.0,7480.0,6980.0,6980.0,6980.0
71198,PHONE,Anhoch,7980.0,7980.0,7980.0,7980.0,7980.0
71199,PHONE,Anhoch,7980.0,7980.0,7980.0,7980.0,7980.0
71200,PHONE,Anhoch,7980.0,7980.0,7980.0,7980.0,7980.0
71201,PHONE,Anhoch,7980.0,7980.0,7680.0,7980.0,7980.0
71202,PHONE,Anhoch,7980.0,7980.0,7980.0,7980.0,7980.0
71203,PHONE,Anhoch,8480.0,8480.0,7980.0,7980.0,7980.0
71204,PHONE,Anhoch,8480.0,8480.0,7980.0,7980.0,7980.0
71205,PHONE,Anhoch,8980.0,8980.0,8980.0,8980.0,8980.0
71206,PHONE,Anhoch,8980.0,8980.0,8980.0,7980.0,7980.0
71210,PHONE,Anhoch,9480.0,8980.0,7980.0,7980.0,7980.0
71212,PHONE,Anhoch,9480.0,8980.0,8980.0,8980.0,7980.0
71213,PHONE,Anhoch,9480.0,9480.0,9480.0,9480.0,8980.0
71214,PHONE,Anhoch,9480.0,9480.0,9480.0,9480.0,8980.0
71215,PHONE,Anhoch,9480.0,8980.0,7980.0,7980.0,7980.0
71216,PHONE,Anhoch,9980.0,9980.0,9980.0,9980.0,9980.0
71217,PHONE,Anhoch,9980.0,9980.0,9980.0,9980.0,8980.0
71218,PHONE,Anhoch,9980.0,9980.0,9980.0,9980.0,8980.0
71219,PHONE,Anhoch,9980.0,9980.0,9980.0,9980.0,8980.0
71220,PHONE,Anhoch,9980.0,9480.0,8480.0,8480.0,8480.0
71221,PHONE,Anhoch,9980.0,9980.0,9980.0,7480.0,7480.0
71222,PHONE,Anhoch,9980.0,9980.0,9980.0,7480.0,7480.0
71223,PHONE,Anhoch,9980.0,9980.0,9980.0,9980.0,8980.0
71224,PHONE,Anhoch,9980.0,9980.0,9980.0,9980.0,8980.0
71225,PHONE,Anhoch,9980.0,9980.0,9980.0,9980.0,8980.0
71226,PHONE,Anhoch,10180.0,10980.0,9980.0,9980.0,9980.0
71227,PHONE,Anhoch,10180.0,10980.0,9980.0,9980.0,9980.0
71228,PHONE,Anhoch,10180.0,10980.0,9980.0,9980.0,9980.0
71230,PHONE,Anhoch,10480.0,10480.0,10480.0,8480.0,8480.0
71231,PHONE,Anhoch,10480.0,10480.0,10480.0,8480.0,8480.0
