name,link,image,regular_price,discount_price,category,store,date
Лаптоп ACER Aspire 3 A315-58-54EF i5-1135G7/8GB/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-3-A315-58-54EF-i5-1135G7-8GB-512GB,https://www.neptun.mk/2023/05/18/Acer_c03e89e0-ab6c-4513-a158-960c1ab9fcef.JPG?width=192,32999,27499.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 250 G9 i5-1235U/8GB/512GB 6S778EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-250-G9-i5-1235U-8GB-512GB-6S778EA,https://www.neptun.mk/2023/10/09/Hp1.JPG?width=192,31999,27799.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 250 G9 i5-1235U/8GB/512GB 6S7B5EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-250-G9-i5-1235U-8GB-512GB-6S7B5EA,https://www.neptun.mk/2023/04/28/6S7B5EA_d57f4d1e-bfd1-4954-85d8-4827444f30e9.JPG?width=192,31999,27799.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 250 G9 i5-1235U/8GB/256GB,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-250-G9-i5-1235U-8GB-256GB-6F1Z9EA,https://www.neptun.mk/2023/01/17/c07973356_6ca13fd6-aa92-4cb9-9408-0bad4bf0b57d.png?width=192,35999,27999.0,LAPTOP,Neptun,2023-10-11
Лаптоп LENOVO IdeaPad 3 15IML05 i5-10210U/8GB/256GB SSD/MX 130 2GB 81WB007DRM,https://www.neptun.mk/categories/prenosni_kompjuteri/LENOVO-IdeaPad-3-15IML05-i5-10210U-8GB-256GB-SSD-MX-130-2GB-81WB007DRM,https://www.neptun.mk/2023/02/23/lenovo.JPG?width=192,33999,28499.0,LAPTOP,Neptun,2023-10-11
Лаптоп DELL Vostro 3510 i5-1135G7/8GB/256GB,https://www.neptun.mk/categories/prenosni_kompjuteri/DELL-Vostro-3510-i5-1135G7-8GB-256GB,https://www.neptun.mk/2023/03/15/11.JPG?width=192,38999,28995.0,LAPTOP,Neptun,2023-10-11
Лаптоп ACER Extensa 15 EX215-54-55ZW i5-1135G7/8GB/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Extensa-15-EX215-54-55ZW-i5-1135G7-8GB-512GB,https://www.neptun.mk/2023/04/10/extensa.JPG?width=192,32499,28999.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 15s fq4014nia i5-1155G7/8GB/512GB 6W1Z7EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-15s-fq4014nia-i5-1155G7-8GB-512GB-6W1Z7EA,https://www.neptun.mk/2023/03/29/00.JPG?width=192,32999,28999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ASUS Vivobook 15 X1504VA-BQ322W i3-1315U/8GB/512GB/WIN11,https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-Vivobook-15-X1504VA-BQ322W-i3-1315U-8GB-512GB-WIN11,https://www.neptun.mk/2023/09/06/Asus_fdc69641-96a4-4d15-90ba-71024fc839cd.JPG?width=192,31999,29499.0,LAPTOP,Neptun,2023-10-11
Лаптоп DELL Vostro 3510 i5-1135G7/8GB/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/DELL-Vostro-3510-i5-1135G7-8GB-512GB,https://www.neptun.mk/2023/09/28/dell-vostro-3510-laptop-15-6-inches-fhd-core-i5-1135g7-1000x1000_1474120b-a46c-458b-8051-16cff81c7537.webp?width=192,31999,29499.0,LAPTOP,Neptun,2023-10-11
Лаптоп DELL Vostro 3525 R5-5625U/8GB/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/DELL-Vostro-3525-R5-5625U-8GB-512GB,https://www.neptun.mk/2023/02/24/89.JPG?width=192,41999,29995.0,LAPTOP,Neptun,2023-10-11
"Лаптоп Asus Vivobook 16 M1605YAR-MB521 16"" R5-7530U/8GB/1TB",https://www.neptun.mk/categories/prenosni_kompjuteri/Asus-Vivobook-16-M1605YAR-MB521-16--R5-7530U-8GB-1TB-,https://www.neptun.mk/2023/06/08/m1605521_7361bc98-3415-4e42-a92d-931a233a6234.jpg?width=192,34499,29999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ACER Aspire 5 A515-56G-38BQ i3-1115G4/12GB/256GB/MX450 2GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-5-A515-56G-38BQ-i3-1115G4-12GB-256GB-MX450-2GB,https://www.neptun.mk/2023/03/29/A315-24P-R83E.JPG?width=192,34999,29999.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 250 G9 i5-1235U/16GB/512GB 6S774EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-250-G9-i5-1235U-16GB-512GB-6S774EA,https://www.neptun.mk/2023/04/13/laptop_hp.JPG?width=192,36999,29999.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 15s fq5345nia i5-1235U/8GB/512GB 7K5K4EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-15s-fq5345nia-i5-1235U-8GB-512GB-7K5K4EA,https://www.neptun.mk/2023/03/29/11.JPG?width=192,35999,30499.0,LAPTOP,Neptun,2023-10-11
Лаптоп DELL Vostro 3520 i5-1235U/8GB/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/DELL-Vostro-3520-i5-1235U-8GB-512GB,https://www.neptun.mk/2023/09/28/3520_bbaca984-07b2-4084-b346-a5ca47077700.jpg?width=192,34999,30999.0,LAPTOP,Neptun,2023-10-11
HP 15s-fq5393nia i5-1235U/16GB/512GB 87C10EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-15s-fq5393nia-i5-1235U-16GB-512GB-87C10EA,https://www.neptun.mk/2023/10/10/HP1_1a7183cd-bcbf-449e-8b87-4c708151fdaf.JPG?width=192,32999,31499.0,LAPTOP,Neptun,2023-10-11
HP 15s-fq5394nia i5-1235U/16GB/512GB 87C11EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-15s-fq5394nia-i5-1235U-16GB-512GB-87C11EA,https://www.neptun.mk/2023/10/10/HP01_c588a176-6206-42a4-8eb4-9fb98cf2fdf4.JPG?width=192,32999,31499.0,LAPTOP,Neptun,2023-10-11
Лаптоп LENOVO IdeaPad 3 15IAU7 i5-1235U/16GB/512GB 82RK008WRM,https://www.neptun.mk/categories/prenosni_kompjuteri/LENOVO-IdeaPad-3-15IAU7-i5-1235U-16GB-512GB-82RK008WRM,https://www.neptun.mk/2023/04/10/15%D0%B8.JPG?width=192,38999,31599.0,LAPTOP,Neptun,2023-10-11
Лаптоп Dell Vostro 3510 11th Generation Intel® Core™ i5-1135G7/8GB/256GB/MX350,https://www.neptun.mk/categories/prenosni_kompjuteri/DELL-Vostro-3510-i5-1135G7-8GB-256GB-MX350,https://www.neptun.mk/2023/02/24/90.JPG?width=192,42999,31995.0,LAPTOP,Neptun,2023-10-11
